id_aluno,id_disciplina,data_inscricao
1,3,2024-01-22
2,1,2024-06-02
3,3,2024-02-23
4,3,2024-10-09
5,3,2024-10-15
6,3,2024-01-09
7,3,2024-09-28
8,3,2024-01-18
9,1,2024-06-18
10,4,2024-09-09
11,1,2024-08-15
12,1,2024-10-17
13,4,2024-10-25
14,2,2024-02-29
15,4,2024-05-08
16,3,2024-02-26
17,4,2024-02-10
18,3,2024-05-20
19,4,2024-05-11
20,2,2024-02-18
21,3,2024-10-22
22,2,2024-05-06
23,4,2024-04-18
24,2,2024-10-13
25,1,2024-10-29
26,2,2024-08-06
27,1,2024-09-18
28,3,2024-04-28
29,2,2024-05-08
30,3,2024-10-29
31,4,2024-10-22
32,2,2024-02-26
33,1,2024-05-01
34,1,2024-09-23
35,2,2024-10-23
36,3,2024-08-30
37,4,2024-10-28
38,1,2024-06-11
39,3,2024-05-05
40,3,2024-01-02
41,1,2024-07-19
42,3,2024-06-02
43,3,2024-10-28
44,4,2024-01-07
45,3,2024-01-04
46,4,2024-09-17
47,2,2024-07-05
48,4,2024-04-07
49,3,2024-03-13
50,3,2024-02-08
51,4,2024-07-09
52,1,2024-07-06
53,4,2024-10-25
54,3,2024-04-24
55,3,2024-03-04
56,2,2024-04-15
57,1,2024-03-26
58,2,2024-07-20
59,4,2024-09-17
60,2,2024-08-24
61,2,2024-08-25
62,1,2024-10-09
63,4,2024-09-15
64,3,2024-10-20
65,1,2024-03-19
66,4,2024-02-16
67,2,2024-03-25
68,1,2024-09-30
69,4,2024-04-16
70,3,2024-11-01
71,4,2024-07-14
72,3,2024-07-06
73,1,2024-01-25
74,3,2024-08-22
75,3,2024-09-11
76,1,2024-03-05
77,2,2024-06-21
78,3,2024-01-28
79,4,2024-09-29
80,2,2024-08-27
81,4,2024-08-26
82,1,2024-07-02
83,4,2024-05-06
84,2,2024-08-27
85,1,2024-01-09
86,3,2024-09-04
87,3,2024-02-18
88,3,2024-02-15
89,2,2024-06-18
90,4,2024-10-26
91,3,2024-03-23
92,4,2024-01-22
93,2,2024-04-30
94,4,2024-01-16
95,4,2024-02-08
96,3,2024-01-18
97,4,2024-03-30
98,1,2024-03-21
99,1,2024-08-24
100,4,2024-01-02
101,4,2024-03-15
102,2,2024-09-30
103,3,2024-07-10
104,3,2024-09-12
105,2,2024-08-12
106,3,2024-07-18
107,3,2024-10-18
108,2,2024-11-02
109,1,2024-05-08
110,3,2024-02-21
111,3,2024-09-07
112,2,2024-02-13
113,3,2024-04-27
114,3,2024-10-07
115,2,2024-05-02
116,3,2024-04-05
117,3,2024-01-23
118,2,2024-09-17
119,2,2024-06-26
120,1,2024-08-03
121,2,2024-09-16
122,1,2024-03-07
123,2,2024-04-22
124,4,2024-04-12
125,2,2024-01-15
126,3,2024-09-24
127,1,2024-02-02
128,1,2024-04-13
129,1,2024-10-14
130,3,2024-06-01
131,3,2024-03-30
132,4,2024-03-09
133,3,2024-05-15
134,1,2024-05-09
135,1,2024-05-15
136,4,2024-03-28
137,2,2024-03-30
138,3,2024-04-25
139,4,2024-03-06
140,3,2024-06-13
141,2,2024-07-24
142,3,2024-02-13
143,4,2024-02-04
144,4,2024-10-08
145,2,2024-03-11
146,3,2024-04-06
147,2,2024-10-31
148,2,2024-02-01
149,3,2024-07-10
150,4,2024-05-28
151,4,2024-06-26
152,4,2024-01-30
153,1,2024-02-09
154,4,2024-10-04
155,3,2024-09-02
156,3,2024-10-22
157,1,2024-06-05
158,2,2024-09-08
159,2,2024-06-24
160,3,2024-02-06
161,3,2024-04-03
162,2,2024-01-29
163,1,2024-07-14
164,4,2024-11-06
165,4,2024-08-23
166,2,2024-07-06
167,3,2024-08-08
168,2,2024-06-29
169,3,2024-07-23
170,4,2024-05-01
171,2,2024-10-25
