id_aluno,id_curso,data_matricula
1,6,2024-11-04
2,1,2024-07-29
3,5,2024-04-08
4,2,2024-07-18
5,4,2024-05-31
6,2,2024-01-24
7,2,2024-08-19
8,2,2024-07-29
9,3,2024-02-02
10,6,2024-03-30
11,2,2024-02-08
12,6,2024-02-28
13,4,2024-05-15
14,5,2024-07-03
15,5,2024-02-04
16,2,2024-05-25
17,2,2024-10-29
18,5,2024-04-12
19,1,2024-04-14
20,3,2024-08-12
21,3,2024-08-26
22,2,2024-01-14
23,2,2024-03-06
24,5,2024-01-22
25,6,2024-05-16
26,5,2024-01-03
27,6,2024-01-28
28,3,2024-08-09
29,6,2024-09-05
30,4,2024-01-25
31,5,2024-04-02
32,5,2024-08-05
33,1,2024-04-13
34,5,2024-09-01
35,2,2024-01-03
36,5,2024-05-09
37,3,2024-09-27
38,1,2024-02-22
39,4,2024-10-30
40,6,2024-03-30
41,3,2024-10-12
42,4,2024-07-30
43,1,2024-04-11
44,3,2024-03-07
45,6,2024-09-07
46,6,2024-09-07
47,4,2024-07-01
48,2,2024-02-15
49,5,2024-05-02
50,4,2024-10-17
51,1,2024-08-20
52,6,2024-05-31
53,2,2024-10-01
54,6,2024-02-22
55,1,2024-09-29
56,2,2024-05-26
57,6,2024-10-10
58,1,2024-07-03
59,5,2024-09-02
60,4,2024-07-24
61,6,2024-10-30
62,2,2024-05-11
63,6,2024-03-12
64,6,2024-06-20
65,4,2024-02-15
66,2,2024-06-09
67,6,2024-03-11
68,1,2024-06-20
69,4,2024-06-10
70,6,2024-01-27
71,6,2024-01-17
72,4,2024-10-17
73,5,2024-01-30
74,6,2024-01-06
75,2,2024-05-17
76,2,2024-06-09
77,3,2024-10-04
78,3,2024-04-18
79,4,2024-10-22
80,2,2024-07-08
81,4,2024-10-13
82,4,2024-06-15
83,4,2024-04-16
84,6,2024-01-29
85,1,2024-02-12
86,6,2024-09-29
87,4,2024-10-26
88,6,2024-10-22
89,6,2024-07-07
90,3,2024-08-06
91,3,2024-09-18
92,2,2024-08-30
93,1,2024-01-16
94,6,2024-09-05
95,4,2024-02-26
96,2,2024-02-11
97,1,2024-02-08
98,4,2024-01-04
99,3,2024-02-16
100,4,2024-09-09
101,2,2024-04-16
